trigger,Av1,Ap1,Av2,Ap2,Bv1,Bp1,Bv2,Bp2,Av1_z,Av2_z,Ap1_z,Ap2_z,Bv1_z,Bv2_z,Bp1_z,Bp2_z
1,0.0,0.6,20.0,0.4,10.0,0.4,6.67,0.6,0.8283162191464618,1.8564676107086109,0.3421969825643326,-0.3421969825643326,0.5140756957810746,0.06705918811020498,-0.3421969825643326,0.3421969825643326
2,4.0,0.5,3.0,0.5,0.0,0.3,5.0,0.7,0.2913594531754472,0.42559864466820085,0.0,0.0,0.8283162191464618,0.15712026168269358,-0.6843939651286655,0.6843939651286652
3,1.0,0.45,4.0,0.55,4.4,0.6,0.0,0.4,0.6940770276537082,0.2913594531754472,-0.1710984912821663,0.1710984912821665,0.23766377657834573,0.8283162191464618,0.3421969825643326,-0.3421969825643326
4,10.0,0.7,4.0,0.3,10.25,0.8,0.0,0.2,0.5140756957810746,0.2913594531754472,0.6843939651286652,-0.6843939651286655,0.547635493654263,0.8283162191464618,1.0265909476929982,-1.0265909476929982
5,10.5,0.5,6.0,0.5,11.0,0.75,0.0,0.25,0.5811952915274514,0.022881070189939946,0.0,0.0,0.6483148872738282,0.8283162191464618,0.8554924564108318,-0.8554924564108318
6,0.0,0.3,12.0,0.7,10.0,0.6,6.0,0.4,0.8283162191464618,0.7825540787665819,-0.6843939651286655,0.6843939651286652,0.5140756957810746,0.022881070189939946,0.3421969825643326,-0.3421969825643326
7,7.5,0.5,0.0,0.5,2.0,0.65,7.0,0.35,0.17847771704919052,0.8283162191464618,0.0,0.0,0.5598378361609545,0.1113581213028137,0.5132954738464991,-0.5132954738464991
8,3.3,0.4,2.25,0.6,4.0,0.67,0.0,0.33,0.3853268872203748,0.5262780382877661,-0.3421969825643326,0.3421969825643326,0.2913594531754472,0.8283162191464618,0.5817348703593658,-0.5817348703593656
9,0.0,0.4,16.0,0.6,22.5,0.4,1.0,0.6,0.8283162191464618,1.3195108447375965,-0.3421969825643326,0.3421969825643326,2.192065589440495,0.6940770276537082,-0.3421969825643326,0.3421969825643326
10,4.5,0.7,0.0,0.3,0.3,0.5,6.0,0.5,0.2242398574290704,0.8283162191464618,0.6843939651286652,-0.6843939651286655,0.7880444616986357,0.022881070189939946,0.0,0.0
11,5.0,0.6,0.0,0.4,0.4,0.55,6.2,0.45,0.15712026168269358,0.8283162191464618,0.3421969825643326,-0.3421969825643326,0.7746205425493603,0.003966768108610806,0.1710984912821665,-0.1710984912821663
12,11.5,0.7,0.6,0.3,10.3,0.8,0.0,0.2,0.7154344830202051,0.7477727042508097,0.6843939651286652,-0.6843939651286655,0.5543474532289008,0.8283162191464618,1.0265909476929982,-1.0265909476929982
13,0.0,0.25,11.35,0.75,16.25,0.5,0.75,0.5,0.8283162191464618,0.695298604296292,-0.8554924564108318,0.8554924564108318,1.3530706426107848,0.7276368255268966,0.0,0.0
14,0.4,0.6,7.3,0.4,0.0,0.3,4.5,0.7,0.7746205425493603,0.15162987875063977,0.3421969825643326,-0.3421969825643326,0.8283162191464618,0.2242398574290704,-0.6843939651286655,0.6843939651286652
15,0.0,0.5,4.0,0.5,0.39,0.65,5.0,0.35,0.8283162191464618,0.2913594531754472,0.0,0.0,0.7759629344642879,0.15712026168269358,0.5132954738464991,-0.5132954738464991
16,11.27,0.67,0.0,0.33,0.6,0.6,18.0,0.4,0.6845594689768717,0.8283162191464618,0.5817348703593658,-0.5817348703593656,0.7477727042508097,1.5879892277231038,0.3421969825643326,-0.3421969825643326
17,2.0,0.5,3.4,0.5,2.5,0.6,3.0,0.4,0.5598378361609545,0.3719029680710994,0.0,0.0,0.4927182404145777,0.42559864466820085,0.3421969825643326,-0.3421969825643326
18,2.0,0.6,5.25,0.4,3.0,0.7,4.0,0.3,0.5598378361609545,0.12356046380950518,0.3421969825643326,-0.3421969825643326,0.42559864466820085,0.2913594531754472,0.6843939651286652,-0.6843939651286655
19,6.6,0.55,11.0,0.45,8.8,0.6,8.25,0.4,0.05766244470571219,0.6483148872738282,0.1710984912821665,-0.1710984912821663,0.35298866598977036,0.27915711066875576,0.3421969825643326,-0.3421969825643326
20,10.0,0.75,6.0,0.25,10.0,0.5,8.0,0.5,0.5140756957810746,0.022881070189939946,0.8554924564108318,-0.8554924564108318,0.5140756957810746,0.24559731279556732,0.0,0.0
21,9.0,0.5,7.5,0.5,5.0,0.35,10.0,0.65,0.37983650428832094,0.17847771704919052,0.0,0.0,0.15712026168269358,0.5140756957810746,-0.5132954738464991,0.5132954738464991
22,4.4,0.65,15.4,0.35,5.5,0.5,11.0,0.5,0.23766377657834573,1.2389673298419444,0.5132954738464991,-0.5132954738464991,0.09000066593631677,0.6483148872738282,0.0,0.0
23,5.25,0.4,2.0,0.6,4.0,0.3,3.0,0.7,0.12356046380950518,0.5598378361609545,-0.3421969825643326,0.3421969825643326,0.2913594531754472,0.42559864466820085,-0.6843939651286655,0.6843939651286652
24,3.45,0.5,1.0,0.5,0.5,0.6,4.8,0.4,0.3651910084964617,0.6940770276537082,0.0,0.0,0.761196623400085,0.18396809998124433,0.3421969825643326,-0.3421969825643326
25,49.5,0.1,5.5,0.9,10.0,0.99,0.0,0.01,5.816523759744843,0.09000066593631677,-1.368787930257331,1.368787930257331,0.5140756957810746,0.8283162191464618,1.6767652145652303,-1.6767652145652303
26,0.0,0.02,9.44,0.98,4.7,0.85,35.0,0.15,0.8283162191464618,0.4389017485451325,-1.642545516308797,1.642545516308797,0.19739201913051965,3.8700554830999154,1.1976894389751644,-1.1976894389751644
27,1.35,0.9,12.5,0.1,0.0,0.01,2.5,0.99,0.6470933106312444,0.8496736745129587,1.368787930257331,-1.368787930257331,0.8283162191464618,0.4927182404145777,-1.6767652145652303,1.6767652145652303
28,0.0,0.02,3.0,0.98,13.1,0.1,1.8,0.9,0.8283162191464618,0.42559864466820085,-1.642545516308797,1.642545516308797,0.9302171894086109,0.5866856744595053,-1.368787930257331,1.368787930257331
29,34.0,0.15,3.5,0.85,8.3,0.98,0.1,0.02,3.7358162916071618,0.35847904892182403,-1.1976894389751644,1.1976894389751644,0.28586907024339353,0.8148922999971865,1.642545516308797,-1.642545516308797
30,2.25,0.98,0.1,0.02,9.0,0.15,1.0,0.85,0.5262780382877661,0.8148922999971865,1.642545516308797,-1.642545516308797,0.37983650428832094,0.6940770276537082,-1.1976894389751644,1.1976894389751644
31,2.5,0.99,0.3,0.01,12.2,0.1,1.4,0.9,0.4927182404145777,0.7880444616986357,1.6767652145652303,-1.6767652145652303,0.8094019170651325,0.6403813510566067,-1.368787930257331,1.368787930257331
32,9.0,0.98,0.0,0.02,34.3,0.1,6.0,0.9,0.37983650428832094,0.8283162191464618,1.642545516308797,-1.642545516308797,3.7760880490549873,0.022881070189939946,-1.368787930257331,1.368787930257331
33,2.9,0.98,3.2,0.02,1.3,0.85,12.0,0.15,0.43902256381747623,0.3987508063696501,1.642545516308797,-1.642545516308797,0.6538052702058821,0.7825540787665819,1.1976894389751644,-1.1976894389751644
34,3.8,0.85,34.0,0.15,8.3,0.98,10.0,0.02,0.31820729147399796,3.7358162916071618,1.1976894389751644,-1.1976894389751644,0.28586907024339353,0.5140756957810746,1.642545516308797,-1.642545516308797
35,1.44,0.85,12.0,0.15,3.0,0.98,4.0,0.02,0.6350117833968966,0.7825540787665819,1.1976894389751644,-1.1976894389751644,0.42559864466820085,0.2913594531754472,1.642545516308797,-1.642545516308797
36,4.58,0.8,22.0,0.2,15.0,0.01,8.0,0.99,0.2135007221096501,2.1249459936941184,1.0265909476929982,-1.0265909476929982,1.1852716532448428,0.24559731279556732,-1.6767652145652303,1.6767652145652303
37,22.5,0.15,0.5,0.85,2.15,0.98,2.3,0.02,2.192065589440495,0.761196623400085,-1.1976894389751644,1.1976894389751644,0.5397019574370414,0.5195660787131284,1.642545516308797,-1.642545516308797
38,17.2,0.15,0.5,0.85,3.2,0.01,3.0,0.99,1.4805978745289008,0.761196623400085,-1.1976894389751644,1.1976894389751644,0.3987508063696501,0.42559864466820085,-1.6767652145652303,1.6767652145652303
39,31.2,0.2,2.8,0.8,8.5,0.99,7.5,0.01,3.359946555427452,0.4524464829667516,-1.0265909476929982,1.0265909476929982,0.31271690854194417,0.17847771704919052,1.6767652145652303,-1.6767652145652303
40,0.9,0.8,33.9,0.2,8.0,0.01,7.5,0.99,0.7075009468029835,3.722392372457886,1.0265909476929982,-1.0265909476929982,0.24559731279556732,0.17847771704919052,-1.6767652145652303,1.6767652145652303
