subject,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11
3,-0.035150659434484824,0.3589066834411452,0.25167822563828585,0.22764239163792963,1.1783415635706564,-0.8788319590303946,1.6558280339556448,1.8470154205113996,0.06286512747430226,0.1199153976663069,0.0969317900760362
4,0.21949911674981484,-0.17805998278543203,0.24260651736535624,0.24138409791711862,1.0966630259675936,-0.07808646736096583,1.5932922098710331,1.6619184121997588,0.13391728086613755,0.12452398949034685,0.7591800103049459
5,0.4278246935008127,0.9902965731858179,0.3068302752375331,0.7322366785255516,1.4838935662284585,-1.3598032405211793,1.8087949317565777,1.3147384673706928,0.15103492385729922,0.10538816076488783,1.6550826609582727
6,0.021777817008335514,0.6518119214845485,0.22102562632009393,0.8343363246876936,1.4374316818524746,-1.376858968465245,1.3658468236356023,1.365161238959406,0.17755475285736047,0.14114051590459595,0.6503733121930598
7,-0.1472687140657267,0.014308076752709092,0.219953152675031,0.8524914537926019,0.7276840292925193,-0.8657408537826525,2.154270446057668,1.698850597552021,0.1449520424645852,0.12810073208025194,0.049569039099775475
9,0.16492391200152737,0.25451163529587906,0.6786387942858187,0.39087530593029773,0.8694053867897288,-0.7045679196816241,1.7668708978136025,2.044539531529334,0.11432239117951147,0.1416145785113698,0.9113382929517858
10,-0.07412919240733214,0.13234575801891116,0.1262258910689824,1.0773360157581846,1.3781609700132658,-0.6532922197121702,2.173654506785524,1.8252246951533657,0.1374009672164409,0.1371319848437167,0.9223791064555783
11,-0.12702603292006062,0.35136237819558025,0.22320583159911045,1.0110724557357076,1.4241107129607782,-1.092722033067685,1.7965185981301712,1.4432108422839918,0.09058008450133764,0.10675562029761827,0.3102680273098644
12,0.2047503696424446,0.10795453623151478,0.3635224628662348,0.846366938266691,0.860948890109937,-0.7463991316827444,2.1729924542406955,1.7390700522128373,0.1647701906949425,0.12362145398784065,0.9392100278570957
13,0.12347080111276035,0.2713019721817807,0.2281368859871441,0.9044976092064896,0.9794519907142297,-1.7146039976444127,2.2282850529269,1.8776734907202866,0.1324725902450247,0.1206647904934323,1.0163339836540388
14,0.14545874273405296,0.0881563565695189,0.21332144255351168,0.5599095186921682,0.8161713155670695,-0.8426433075337925,1.9911142201829577,1.909387953853203,0.09006446302393271,0.12449328294491843,0.22749219811652313
15,-0.1338067186293244,0.18436655749477068,0.36765487378916084,0.18999075440678487,1.0299843584488078,-0.9983584435446824,2.111947360511681,2.0273357101469127,0.11010770016743683,0.12672245730102935,0.5991593855925244
16,0.1496469955097596,0.40008368279349943,-0.022056622225242427,0.7348696513513672,1.112099419616855,-0.9377571889922183,1.8902926144609171,1.8852339765713895,0.11250416565783175,0.09668710806570249,0.5583614919933815
17,0.025118856694088153,0.13220817735167414,0.3176735405186733,0.2690576725832241,0.9338621888892886,-0.8123684272838586,1.7130238602339358,1.70930737868201,0.10745051653188147,0.09610304039229896,0.36328153994807416
18,-0.05514092850725009,0.09525447304579689,0.4843254410796106,0.7724389460237187,1.2762598776738883,-1.0871666309330699,1.8337171923185327,1.5327631939204052,0.16528201928102976,0.13263952533458473,1.067995593691653
19,0.18409692156226323,0.7075673782536569,0.13619813474357964,1.2498278864663466,1.0866278558904057,-1.317241734827724,1.9004876398719728,1.8301833832451837,0.12690123591550326,0.13361451863766424,0.4010986457178351
20,-0.12861274627175495,0.11050981290458985,0.5453845105981059,0.27126785013169374,0.7383109520754509,-0.6081520888286651,2.230160503185215,1.914493948139371,0.1686401368494284,0.12219507815876018,0.6668006823987739
21,0.1978811068102774,0.287978908372546,0.5087935441977122,0.9838558095040716,1.2546240118334289,-1.5216877369811255,1.4935342432459497,1.6313114334662289,0.1690286480603539,0.10977813996223122,0.8907373942537401
22,0.13416446483808694,0.3209078522049324,0.10416760678555852,0.8437165446470689,1.0186589699582786,-0.8860562207451297,1.9076536468793484,1.7809090466406252,0.1638728438180772,0.1150309762569125,1.0812587393270348
23,0.11540401981542073,0.44383215182133945,0.2019094778210911,1.0990661942158833,0.8612583318782542,-0.7019536425147879,1.9612345996335916,1.9328637070574526,0.09717667818304042,0.10331932417486205,0.6918387362475193
24,0.2472696623533569,0.2680609300966429,0.2752226278089358,1.1444616734777993,1.005540012643487,-1.1424778079129674,1.9078358524590726,1.5288565524814322,0.13699544479603093,0.10000950786374824,0.3659647445300013
